State,fips,Numbers_1,Numbers_2,Prop_1,Var_1,Var_2,Var_3
Alabama,1,5783,1688,0.29,1,0,1
Alaska,2,2879,951,0.33,1,0,1
Arizona,4,13330,3876,0.29,0,0,1
Arkansas ,5,4127,1182,0.29,1,1,1
California,6,51268,14436,0.28,0,1,0
Colorado,8,5340,1007,0.19,1,1,0
Connecticut ,9,4352,1556,0.36,0,1,0
Delaware,10,585,201,0.34,1,1,1
District of Columbia,11,672,202,0.3,0,0,0
Florida,12,24563,9283,0.38,1,0,1
Georgia,13,12867,3456,0.27,0,1,1
Hawaii ,15,1706,278,0.16,0,1,0
Idaho,16,1752,557,0.32,1,0,0
Illinois,17,18317,2767,0.15,1,1,1
Indiana,18,16307,4302,0.26,0,0,0
Iowa,19,5955,1358,0.23,1,0,1
Kansas,20,8066,2376,0.29,1,0,1
Kentucky,21,9148,3152,0.34,0,0,1
Louisiana,22,3919,1337,0.34,1,1,1
Maine,23,2096,510,0.24,0,1,1
Maryland ,24,3840,370,0.1,0,0,0
Massachusetts,25,9862,3646,0.37,1,0,0
Michigan,26,11676,3821,0.33,1,0,1
Minnesota,27,8400,1951,0.23,0,1,1
Mississippi,28,4161,1610,0.39,0,0,1
Missouri,29,12685,2745,0.22,1,0,1
Montana,30,3697,1018,0.28,1,0,0
Nebraska,31,3506,689,0.2,0,0,0
Nevada,32,4541,1667,0.37,0,1,1
New Hampshire,33,1225,253,0.21,1,0,1
New Jersey,34,4430,1895,0.43,0,0,0
New Mexico,35,2326,1194,0.51,0,0,1
New York,36,16086,3806,0.24,0,1,1
North Carolina,37,11223,2861,0.25,0,1,1
North Dakota,38,1502,421,0.28,1,0,1
Ohio,39,16387,3677,0.22,1,0,1
Oklahoma ,40,8311,3787,0.46,1,1,1
Oregon,41,6842,1576,0.23,1,1,0
Pennsylvania,42,15526,3411,0.22,0,0,1
Rhode Island,44,2200,358,0.16,1,0,1
South Carolina,45,4521,1568,0.35,0,0,1
South Dakota,46,1706,396,0.23,1,0,1
Tennessee,47,9290,1743,0.19,1,0,1
Texas ,48,31427,12932,0.41,1,0,1
Utah,49,2488,684,0.27,1,1,1
Vermont,50,1245,331,0.27,0,1,1
Virginia ,51,4925,1934,0.39,0,1,1
Washington,53,10909,3478,0.32,0,1,1
West Virginia,54,7322,3402,0.46,0,1,0
Wisconsin,55,7653,1540,0.2,0,0,1
Wyoming,56,994,155,0.16,1,0,0